Quarter,Topic,Difficulty,Question,Choice_1,Choice_2,Correct,Explanation
4,Electric Charge,Easy,True or False: Electric charge is a fundamental property of matter that causes it to experience a force in an electromagnetic field.,True,False,T,Electric charge exists in positive and negative forms and is responsible for all electrical interactions.
4,Electric Charge,Medium,True or False: According to the Law of Conservation of Charge charge can be created or destroyed during a chemical reaction.,True,False,F,Charge is only transferred from one object to another; the total amount of charge in an isolated system remains constant.
4,Electric Charge,Hard,True or False: Charging by induction requires direct physical contact between a charged object and a neutral object.,True,False,F,Induction involves charging an object without touching it; charging by contact is known as conduction.
4,Coulombs Law,Easy,True or False: Coulomb's Law states that like charges attract each other while opposite charges repel.,True,False,F,The law states that like charges repel and opposite charges attract.
4,Coulombs Law,Medium,True or False: If the distance between two charges is doubled the electric force between them is reduced to one-fourth of its original value.,True,False,T,Because of the inverse square law ($1/r^2$)--doubling the distance ($2^2$) makes the force four times weaker.
4,Coulombs Law,Hard,True or False: The electrostatic constant (k) used in Coulomb’s Law is approximately 9.0 x 10^9 N·m²/C².,True,False,T,This constant represents the proportionality of the electric force in a vacuum.
4,Voltage/Current/Resistance,Easy,True or False: Electric current is defined as the flow of electric charge through a conductor.,True,False,T,Current is the rate at which charge moves past a specific point in a circuit.
4,Voltage/Current/Resistance,Medium,True or False: Resistance is the property of a material that encourages the flow of electric current.,True,False,F,Resistance opposes or hinders the flow of electrons through a material.
4,Voltage/Current/Resistance,Hard,True or False: In a parallel circuit if one light bulb burns out all other bulbs in the circuit will also go out.,True,False,F,In a parallel circuit--each bulb has its own path to the energy source--so the others stay lit.
4,Voltage/Current/Resistance,Medium,True or False: Ohm’s Law is mathematically expressed as Voltage equals Current divided by Resistance (V = I / R).,True,False,F,The correct formula for Ohm's Law is $V = I \times R$.
4,Electromagnetism,Easy,True or False: An electric motor converts electrical energy into mechanical energy.,True,False,T,Motors use the interaction between current and magnetic fields to create physical motion.
4,Electromagnetism,Medium,True or False: A generator works on the principle of electromagnetic induction to convert mechanical energy into electricity.,True,False,T,Spinning a coil in a magnetic field induces a voltage--which is the basis of how generators function.
4,Electromagnetism,Hard,True or False: Hans Christian Ørsted discovered that a wire carrying an electric current produces a magnetic field.,True,False,T,This 1820 discovery provided the first evidence of the relationship between electricity and magnetism.
4,Electromagnetism,Medium,True or False: Increasing the number of turns in a solenoid coil will decrease the strength of its magnetic field.,True,False,F,Adding more turns increases the concentration of the magnetic field--making it stronger.
4,Applications Of Electricity,Easy,True or False: St. Elmo’s Fire is a type of plasma created by a corona discharge from pointed objects during storms.,True,False,T,The high electric field near sharp points ionizes air molecules--creating a visible glow.
4,Applications Of Electricity,Medium,True or False: MRI machines use powerful magnets and radio waves to create detailed images of the inside of the human body.,True,False,T,Magnetic Resonance Imaging relies on the magnetic properties of hydrogen atoms in the body.
4,Applications Of Electricity,Hard,True or False: Maglev trains use electromagnets to hover above tracks to eliminate friction.,True,False,T,Magnetic Levitation (Maglev) allows for high-speed travel by removing the contact between the train and the rail.
4,Electrical Safety,Easy,True or False: A step-up transformer increases voltage and is typically found at power plants before long-distance transmission.,True,False,T,Stepping up the voltage allows for more efficient energy travel over long distances.
4,Electrical Safety,Medium,True or False: A fuse is a safety device that can be reset and reused after it has tripped.,True,False,F,Fuses melt and must be replaced; circuit breakers are the safety devices that can be reset.
4,Electrical Safety,Hard,True or False: High voltage is used for transmission because it increases the current and makes the wires colder.,True,False,F,High voltage is used to decrease the current--which prevents the wires from losing too much energy as heat.
4,Electrical Safety,Medium,True or False: A GFCI outlet is designed to protect people from electric shocks in wet environments like bathrooms.,True,False,T,Ground Fault Circuit Interrupters detect small leaks in current and shut off power instantly to prevent electrocution.
4,Electrical Safety,Easy,True or False: The ground wire (third prong) provides a safe path for excess electricity to travel to the Earth during a fault.,True,False,T,This prevents the metal casing of an appliance from becoming "live" and shocking the user.
4,Electromagnetism,Hard,True or False: Transformers can work using both Alternating Current (AC) and Direct Current (DC).,True,False,F,Transformers require a changing magnetic field to work--which only Alternating Current provides.
4,Voltage/Current/Resistance,Medium,True or False: Adding more resistors to a series circuit decreases the total resistance of the circuit.,True,False,F,In a series circuit--total resistance increases as you add more resistors ($R_{total} = R_1 + R_2...$).
4,Electric Charge,Easy,True or False: Electrons carry a positive charge while protons carry a negative charge.,True,False,F,Electrons are negatively charged and protons are positively charged.
4,Voltage/Current/Resistance,Hard,True or False: The SI unit for electrical current is the Ampere.,True,False,T,The Ampere (A) measures the amount of charge passing through a point per second.
4,Applications Of Electricity,Medium,True or False: An induction cooktop heats a pan by using magnets to rub the bottom of the pan very quickly.,True,False,F,It uses a magnetic field to induce "eddy currents" in the metal--which generates heat through resistance.
4,Electromagnetism,Hard,True or False: Lenz's Law states that an induced current will flow in a direction that opposes the change that caused it.,True,False,T,This law explains why energy is conserved in electromagnetic systems.
4,Electrical Safety,Easy,True or False: Plastic and rubber are used to coat wires because they are excellent conductors.,True,False,F,They are used because they are insulators;which prevent electricity from escaping the wire.
4,Voltage/Current/Resistance,Medium,True or False: A 'short circuit' occurs when electricity follows a path of very low resistance; causing a dangerous surge in current.,True,False,T,Without a load to provide resistance--the current becomes high enough to cause heat and fire.
