Quarter,Topic,Difficulty,Question,Choice_A,Choice_B,Choice_C,Choice_D,Correct,Explanation
2,Modified T/F,Medium,True or False: Copernicus believed the Earth was the center of the universe.,True,False,, ,B,False. Copernicus proposed the Heliocentric (Sun-centered) model.
2,Modified T/F,Easy,True or False: Weight is the same thing as Mass.,True,False,, ,B,False. Weight is a force ($W=mg$) while mass is the amount of matter.
2,Modified T/F,Hard,True or False: Cavendish used a telescope to find the gravitational constant.,True,False,, ,B,False. He used a Torsion Balance.
2,Modified T/F,Medium,True or False: Gravity is stronger when objects are closer together.,True,False,, ,A,True. Gravity is inversely proportional to the square of the distance.
2,Modified T/F,Easy,True or False: Aristotle proved the Earth was round using math.,True,False,, ,B,False. Aristotle used logic/observation; Eratosthenes used math.
2,Modified T/F,Medium,True or False: Power is the rate at which work is done.,True,False,, ,A,True. Power = Work / Time.
2,Modified T/F,Hard,True or False: A book sitting on a desk is doing work.,True,False,, ,B,False. Work requires displacement; if it's sitting still, work is zero.
2,Modified T/F,Easy,True or False: The unit for Energy is the Joule.,True,False,, ,A,True. Both Work and Energy are measured in Joules.
2,Modified T/F,Medium,True or False: Geocentric means Sun-centered.,True,False,, ,B,False. Geocentric means Earth-centered; Heliocentric means Sun-centered.
2,Modified T/F,Hard,True or False: Kepler's laws supported the Geocentric model.,True,False,, ,B,False. Kepler's laws supported the Heliocentric (Copernican) model.
2,Gravity,Medium,According to the text what happens when mass (m) comes close to mass (M)?,They repel each other,Mass (M) pulls on mass (m),They both disappear,Nothing happens,B,When another object with mass (m) comes close, the first object with mass (M) will pull on it.
2,Gravity,Hard,What determines the strength and direction of the pull on mass (m)?,The speed of the object,The gravitational field at that spot,The temperature of space,The shape of mass (m),B,The strength and direction of this pull depend on the gravitational field at that spot.
2,Gravity,Medium,Based on Figure 1 what is the direction of the force (Fg) acting on mass (m)?,Towards mass (M),Away from mass (M),Upwards,To the right,A,As shown in Figure 1b, mass (M) exerts a gravitational force and pulls (m) towards it.
2,Gravity,Easy,What is required for an object to set up a gravitational field around itself?,It must be moving,It must have mass (M),It must be in a vacuum,It must be glowing,B,Any object with mass (M) sets up a gravitational field around itself.
2,Gravity,Medium,How is a gravitational field described in the lesson?,A region of heat,A force field or region of space,A magnetic wave,A vacuum of air,B,A gravitational field is a force field or region of space around a mass.
2,Gravity,Easy,What is a force field or region of space around a mass called?,Electric field,Magnetic field,Gravitational field,Vacuum,C,"A gravitational field is defined as a force field or region of space around a mass."
2,Gravity,Medium,Any object with mass (M) sets up a gravitational field ____.,Only when moving,Around itself,Only near Earth,Only if it is large,B,"Any object with mass (M) sets up a gravitational field around itself."
2,Gravity,Hard,When is a gravitational field considered unnoticeable?,When moving fast,When the object is alone,When the mass is small,In a vacuum,B,"The gravitational field is unnoticeable when the object is alone."
2,Gravity,Medium,What does a gravitational field show about an object?,Its speed,Its pull on other objects,Its temperature,Its volume,B,"It shows how much an object can pull other objects toward it using gravity at a point."
2,Gravity,Hard,The strength and direction of a gravitational pull depend on?,The object's age,The field at that spot,The object's color,The surrounding air,B,"The strength and direction of this pull depend on the gravitational field at that spot."
2,Work and Energy,Easy,How is energy defined in the Work-Energy theorem?,Speed of motion,Ability to do work,Force over time,Total mass,B,"Energy is defined as the ability to do work."
2,Work and Energy,Medium,What is the mathematical expression for work (W)?,W = mgh,W = Fd,W = 1/2mv^2,W = P/t,B,"Mathematically, work is expressed as W = Fd."
2,Work and Energy,Hard,When lifting an object vertically at constant speed the applied force equals?,Acceleration,The object's weight,Displacement,Potential Energy,B,"The applied force is equal to the object's weight, given by F = mg."
2,Work and Energy,Medium,Work done on an object results in a change in energy due to a change in?,Mass,Temperature,Position,Velocity,C,"Work results in a change in energy due to the change of the object's position."
2,Work and Energy,Hard,Which formula represents work done when lifting an object vertically?,W = mad,W = mgd,W = F/m,W = 1/2gh,B,"By substituting F=mg into W=Fd, we get W = mgd."
2,Work and Energy,Easy,Which symbol is used for gravitational potential energy?,E,W,U,P,C,"Gravitational potential energy is represented by the symbol (U)."
2,Work and Energy,Medium,The Work-Energy theorem states that Work is equal to?,Delta E,Force / Distance,Mass * Gravity,Power * Time,A,"In formula, the theorem is shown as W = Delta E."
2,Gravity,Medium,In Figure 1b what happens to mass (m) in the field of mass (M)?,It is repelled,It is pulled towards M,It stops moving,It gains weight,B,"Mass (M) will pull mass (m) towards it as shown in Figure 1b."
2,Work and Energy,Hard,If an object is moved but not in the direction of the force is work done?,Yes,No,Only if it is fast,Only if it is heavy,B,"Work is done only when a force moves an object in the direction of the force."
2,Work and Energy,Easy,Equation 10 states that Work (W) is equal to the change in?,Mass,Potential Energy (U),Velocity,Time,B,"Equation 10 states W = Delta U."
2,Gravity,Medium,Dashed arrows in a gravitational diagram point toward the mass to show?,Heat loss,Field direction,Rotation,Speed,B,"The arrows show the gravitational field pulling toward the mass."
2,Work and Energy,Medium,To calculate work (W=mgd) for a lifted object you need mass gravity and?,Time,Distance,Velocity,Force,B,"The formula W = mgd uses mass, gravity, and distance."
2,Gravity,Easy,True or False: A gravitational field exists even if no other mass is nearby.,True,False,, ,A,"A mass sets up a field around itself regardless of other objects."
2,Work and Energy,Hard,Constant speed during a vertical lift implies the net force is?,Increasing,Decreasing,Zero,Infinite,C,"At constant speed, the applied force equals the weight, meaning net force is zero."
2,Work and Energy,Medium,What does the 'Delta' symbol in the Work-Energy theorem mean?,Total,Change in,Divide by,Multiply by,B,"Delta represents the change in a quantity, such as Delta E or Delta U."
2,Gravity,Easy,What is the region of space around a mass where another mass experiences a gravitational force?,Magnetic Field,Force Field,Gravitational Field,Vacuum,C,"A gravitational field is a force field or region of space around a mass where another mass experiences a force due to gravity."
2,Gravity,Medium,Any object with mass (M) sets up a gravitational field ____.,Only when it is moving,Around itself,Only in a vacuum,Only if it is a planet,B,"Any object with mass (M) sets up a gravitational field around itself."
2,Gravity,Hard,Why is the gravitational field of a single object often considered unnoticeable?,It has no mass,The object is alone,It has no velocity,It is in a vacuum,B,"The gravitational field is unnoticeable when the object is alone."
2,Gravity,Medium,What happens when an object with mass (m) enters the gravitational field of mass (M)?,It is repelled,M pulls on m,m gains mass,It stops moving,B,"When another object with mass (m) comes close, the first object with mass (M) will pull on it."
2,Work and Energy,Easy,How is energy defined according to the provided text?,The speed of motion,The ability to do work,The amount of matter,The rate of heat loss,B,"Energy is defined as the ability to do work."
2,Work and Energy,Medium,What is the formula for work (W) when a force (F) moves an object over a distance (d)?,W = mgh,W = Fd,W = 1/2mv^2,W = P/t,B,"Mathematically, work is expressed as W = Fd."
2,Work and Energy,Hard,When lifting an object at a constant speed -- what is the applied force equal to?,Acceleration,The object's weight (mg),Displacement,Potential Energy,B,"At the surface of the earth, the applied force is equal to the object's weight, given by F = mg."
2,Work and Energy,Medium,According to the work-energy theorem -- work done results in a change in?,Mass,Energy,Time,Velocity,B,"The work-energy theorem states that the work done on an object results in a change in its energy."
2,Work and Energy,Hard,By substituting F = mg into W = Fd -- which formula for work do we get?,W = mad,W = mgd,W = F/m,W = 1/2gh,B,"By substituting equation 11 to 8, we can get W = Fd = mgd."
2,Work and Energy,Easy,Which symbol represents gravitational potential energy?,P,E,U,W,C,"Gravitational potential energy (U) can be derived from basic concepts of energy."
2,Gravity,Medium,How does the strength of Earth's gravitational acceleration change with distance?,It gets stronger further away,It remains perfectly constant,It gets weaker further away,It depends on the time of day,C,The farther you are from the center of the Earth, the weaker the acceleration imparted by Earth on you.
